Rebecca;Mercer;109;midfielder;618;95000000.0;1998-08-25
Jennifer;Murphy;134;defender;360;44000000.0;1990-12-25
Edward;Jones;146;goalkeeper;393;28000000.0;1999-09-09
Shannon;Sanford;68;midfielder;739;96000000.0;1984-11-18
Rachael;Chavez;22;forward;315;7000000.0;1988-12-12
Kimberly;Stephenson;98;defender;810;60000000.0;1982-05-06
James;Williams;133;defender;17;95000000.0;1981-12-08
Adrian;Flowers;138;midfielder;808;95000000.0;2007-12-14
Elizabeth;Miller;105;forward;382;52000000.0;2005-07-28
Steven;Love;78;defender;93;10000000.0;1999-08-20
Derek;Ramos;24;forward;455;98000000.0;1986-02-18
Richard;Jacobson;73;midfielder;799;4000000.0;1987-08-13
Christopher;Hoover;57;forward;734;82000000.0;1982-06-24
Joseph;Owen;18;forward;351;79000000.0;1986-10-30
Taylor;Rodgers;28;forward;193;40000000.0;1980-08-21
Penny;Murray;73;defender;750;68000000.0;2006-06-13
Steven;Butler;132;defender;654;11000000.0;1991-11-28
Abigail;Brennan;175;forward;435;28000000.0;1984-11-16
Brittany;Wilson;48;goalkeeper;320;29000000.0;2005-09-05
Lindsay;Newton;142;defender;787;7000000.0;2004-10-03
William;Vasquez;38;defender;574;44000000.0;1993-10-06
Mary;Garcia;40;goalkeeper;183;48000000.0;1994-02-22
Jill;Simpson;34;midfielder;643;85000000.0;1984-04-29
Andrew;Harvey;108;goalkeeper;644;23000000.0;1982-01-07
Stephanie;Huff;16;forward;225;63000000.0;1985-01-14
Sandra;Lynn;107;goalkeeper;982;57000000.0;2007-07-28
Johnathan;Cruz;126;defender;314;71000000.0;2006-03-17
John;West;160;midfielder;390;47000000.0;1999-01-01
Amanda;Garcia;149;defender;158;92000000.0;2003-03-05
Jessica;Johnson;172;goalkeeper;698;97000000.0;1987-06-15
Noah;King;26;goalkeeper;833;52000000.0;1986-03-14
Kenneth;Mccullough;99;midfielder;425;4000000.0;1985-02-26
Randy;Velasquez;6;midfielder;476;33000000.0;2003-08-13
Joe;Davis;140;goalkeeper;747;90000000.0;1986-12-29
Susan;Castro;171;defender;974;79000000.0;1995-07-18
Brian;Anderson;27;midfielder;707;29000000.0;1992-08-10
Amanda;Fowler;12;midfielder;244;20000000.0;1984-03-11
Nicole;Rodriguez;194;defender;36;82000000.0;1997-02-19
Christian;Huber;83;defender;909;92000000.0;2001-09-17
Meghan;Ramos;145;forward;544;29000000.0;2004-03-22
Samantha;Marquez;27;defender;288;56000000.0;2004-12-30
Brad;Kelly;192;midfielder;317;89000000.0;1993-12-23
Christopher;Hutchinson;94;midfielder;376;8000000.0;1980-06-25
Annette;Lawson;27;forward;208;5000000.0;1998-12-25
Chris;Wilson;170;midfielder;130;7000000.0;1998-07-30
Maria;Allen;138;midfielder;643;13000000.0;1988-06-03
Todd;Elliott;189;defender;100;54000000.0;1992-06-20
Tiffany;Evans;138;forward;128;13000000.0;2004-03-12
Joseph;Ellis;129;goalkeeper;316;55000000.0;1983-02-22
Breanna;Leon;170;defender;399;54000000.0;2006-05-16
Andrew;Mitchell;37;forward;550;37000000.0;2001-11-29
Briana;Castillo;53;goalkeeper;133;39000000.0;2005-05-08
Nicole;Taylor;100;defender;289;76000000.0;1995-03-01
Taylor;Johnson;62;midfielder;439;40000000.0;2002-07-20
Michael;Rodriguez;167;defender;120;14000000.0;1988-08-26
Felicia;Smith;196;midfielder;723;92000000.0;2002-05-18
Scott;Watts;91;goalkeeper;880;96000000.0;1984-02-10
Lisa;Benson;143;forward;44;15000000.0;2001-06-05
William;Bradley;132;forward;781;91000000.0;1998-07-04
Travis;Castillo;196;midfielder;687;64000000.0;1995-12-17
Frank;Johnson;17;goalkeeper;570;77000000.0;1982-10-01
Sandra;Harper;60;defender;561;64000000.0;1992-05-27
Stacy;Sandoval;7;forward;415;14000000.0;1985-11-16
Melissa;Clark;172;forward;981;11000000.0;2000-11-10
Angela;Hobbs;42;goalkeeper;433;71000000.0;1994-05-07
Angela;Smith;186;midfielder;328;36000000.0;1999-11-30
Jacob;Obrien;129;defender;7;86000000.0;2000-11-08
Danielle;Taylor;197;midfielder;418;71000000.0;1990-01-21
Scott;Herrera;102;midfielder;405;50000000.0;1996-05-17
Diana;Mills;146;forward;442;66000000.0;2006-06-17
Jennifer;Johnson;80;midfielder;907;57000000.0;1987-09-17
Brad;Mitchell;78;forward;78;78000000.0;2004-09-06
Eugene;Perkins;178;forward;215;72000000.0;1987-05-31
David;English;186;forward;864;64000000.0;2001-01-18
Jonathan;Norton;18;midfielder;523;19000000.0;2005-07-05
Amanda;James;83;midfielder;575;72000000.0;1980-05-26
Martin;Ho;88;defender;967;98000000.0;2004-08-20
Cory;Cross;89;defender;126;19000000.0;1988-10-08
William;Gonzalez;106;midfielder;223;57000000.0;2006-02-13
John;Allen;173;midfielder;913;30000000.0;2002-01-03
Jason;Davis;153;defender;136;19000000.0;1984-12-02
Scott;Jones;145;defender;153;64000000.0;1996-02-28
Bryan;Crawford;129;midfielder;282;65000000.0;1983-05-16
Robert;Lowe;150;goalkeeper;609;98000000.0;1990-04-04
Cynthia;Hatfield;19;defender;834;24000000.0;1986-11-24
Hannah;Herman;135;defender;472;76000000.0;1993-04-05
Jeffery;Frank;59;goalkeeper;415;81000000.0;1993-09-10
Steven;Hanson;130;midfielder;436;1000000.0;1985-02-04
David;Burns;56;midfielder;613;13000000.0;1981-01-03
Matthew;Stevens;37;defender;397;39000000.0;1996-07-15
Anthony;Harrison;161;forward;943;13000000.0;1986-12-03
Ian;David;128;defender;976;28000000.0;1984-12-07
Kim;Moore;188;forward;483;12000000.0;2004-10-02
Anthony;Jensen;189;midfielder;330;87000000.0;1987-05-04
Steven;Shah;131;forward;355;70000000.0;1985-11-07
